idUsuario,nombre,username,idUniversidad,facultad,curso,clase,edad
1,Bernarda Jimenez-Manjón,mereLemur3,83,Arquitectura,5,D,24
2,Pilar Gallardo Flores,pitifulAntelope2,79,Comunicación,3,C,38
3,Cesar Salmerón Goñi,cautiousGelding9,6,Educación Física,2,D,34
4,Rosalina Nogueira-Corral,culturedQuiche3,51,Medicina,3,D,40
5,Pilar Mayol Artigas,alertSeagull3,76,Ciencias de la Salud,6,A,29
6,Danilo Cuenca,cruelBuzzard8,54,Información,2,D,50
7,Demetrio Cordero Águila,crummySalami9,10,Medicina,3,A,38
8,Silvestre Arnal,mildMackerel8,42,Ciencias de la Educación,2,D,25
9,Octavia Jurado Ariza,brainyLion8,79,Ciencias Físicas y Matemáticas,4,A,28
10,Remigio Montalbán Bravo,chicHeron8,32,Ciencias Económicas,2,B,50
11,Gabriela Fuentes Gimenez,excitedRelish8,1,Medicina,1,D,33
12,Beatriz Guzmán Abella,humorousSardines1,36,Ciencias de la Salud,1,D,20
13,Marco del Chamorro,pacifiedOcelot6,83,Arquitectura,5,D,18
14,Pancho Bautista Falcó,mellowPepper6,75,Comunicación,4,D,37
15,Nacho Ayllón,ecstaticTruffle6,24,Ciencias Exactas,2,D,17
16,Rómulo Menendez,excludedCoconut7,16,Ciencias Sociales,3,C,36
17,Cesar Nadal Busquets,sugaryBittern5,42,Humanidades,6,A,34
18,Nadia de Manjón,lazySmelt3,10,Ingeniería,1,D,25
19,Bernardino del Plana,anxiousMare4,36,Ciencias de la Educación,3,C,38
20,Adoración Machado Mariscal,brainyTomatoe8,74,Odontología,1,D,17
21,Odalis Marin Palomino,crummyDunbird8,35,Ingeniería,4,D,23
22,Ignacia Aguilar Gargallo,wearyThrush9,21,Ingeniería,6,C,20
23,Heraclio Orozco,cautiousGatorade5,9,Ciencias Físicas y Matemáticas,5,A,26
24,Federico Higueras-Casanovas,peacefulBoars0,87,Ingeniería,1,A,19
25,Judith Melero Hoyos,betrayedLapwing3,83,Medicina,1,B,23
26,Joaquín Manolo Tena Pellicer,grumpyApples3,67,Veterinaria,3,B,24
27,Emilia Hoyos Cortes,dearMare0,23,Matemática,3,D,16
28,Clara Figueras Correa,outlyingDingo4,36,Derecho,1,B,20
29,María Manuela Pinilla-Ballesteros,obsessedFerret9,75,Ciencias Económicas,6,B,21
30,Timoteo Hernandez-Duque,zestyBustard4,30,Derecho,4,B,17
31,Moisés Roda Carranza,enragedOil9,64,Arquitectura,6,B,18
32,Carmelo Carreño Sanz,blissfulWidgeon9,52,Ciencias Físicas y Matemáticas,6,D,46
33,Elpidio Garcés Sáez,fondDoughnut5,78,Derecho,4,D,42
34,Ignacia Olmo-Amigó,dejectedOrange3,81,Información,2,A,26
35,Elisabet de Fajardo,affectedCaviar2,1,Medicina,4,C,31
36,Benigna Ibáñez Campo,grizzledRice2,78,Matemática,2,A,50
37,Encarnita Arranz Sainz,pleasedBuzzard5,49,Educación Física,4,A,32
38,Candelas del Requena,madPoultry4,29,Matemática,6,D,16
39,Macaria Ariel Terrón Cantón,sincereRaisins6,81,Psicología,4,B,34
40,Elvira Codina Ballester,scornfulHyena9,69,Psicología,6,C,24
