nombre,edad,nombre,Universidad
"Danilo Cuenca",50,"Universidad Europea de Valencia",Información
"Remigio Montalbán Bravo",50,"Universidad IE","Ciencias Económicas"
"Carmelo Carreño Sanz",46,"Universidad Católica de Valencia San Vicente Mártir","Ciencias Físicas y Matemáticas"
"Benigna Ibáñez Campo",50,"Universidad a Distancia de Madrid",Matemática
"Tecla Santiago Nogueira",48,"Universidad Ramon Llull","Ciencias Sociales"
"Vasco Bermúdez",49,"Universidad de Córdoba",Matemática
"Duilio Corbacho Company",49,"Universidad Internacional Isabel I de Castilla",Derecho
"Mohamed Mariño-Giménez",48,"Universidad del País Vasco",Ingeniería
"Marina Alberola Vazquez",47,"Universidad Pompeu Fabra","Ciencias de la Salud"
"Ramiro Paz Río",48,"Universidad a Distancia de Madrid",Agronomía
"Petrona Cobos Mate",47,"Universidad de Córdoba",Psicología
"Ruth Baena Fuertes",50,"Universidad de Mondragón",Diseño
"Antonio Roselló Cerdá",48,"Universidad de Salamanca","Educación Física"
"Martin Angulo Goñi",46,"Universidad Internacional de Cataluña","Ciencias de la Educación"
"Ana de Franch",49,"Universidad Internacional de Andalucía",Ingeniería
"María Carmen Martínez Arranz",46,"Universidad Pompeu Fabra",Medicina
"Antonia Peralta Viña",47,"Universidad de Santiago de Compostela",Comunicación
"Otilia Puig Infante",50,"Universidad Abad Oliva CEU",Odontología
"Nacho Iglesias Higueras",46,"Universidad de Burgos",Ingeniería
"Ileana Ibáñez Casas",48,"Universidad de Jaén",Arquitectura
"Omar Carvajal Ruano",50,"Universidad de Oviedo","Ciencias Sociales"
"Jacinto Riera Guzmán",50,"Universidad del País Vasco",Odontología
"Alejo de Sáez",49,"Universidad de Santiago de Compostela","Ciencias Exactas"
"Hernán Ruperto Parra Cazorla",49,"Universidad Fernando III",Agronomía
"Celia de Berrocal",48,"Universidad Tecnológica Atlántico-Mediterráneo",Medicina
"Julia Petrona Arellano Martínez",50,"Universidad Abad Oliva CEU",Información
"Isidro Galvez Pascual",50,"Universidad Ramon Llull",Psicología
"Gerónimo Mateo Salgado",47,"Universidad de Valladolid",Filosofía
"Amalia Menendez Sanabria",47,"Universidad de Salamanca",Matemática
"Tito de Peña",50,"Universidad de Córdoba",Humanidades
"Caridad Teruel",49,"Universidad Internacional de la Empresa","Ciencias de la Educación"
"Inés Mascaró Piñol",48,"Universidad Miguel Hernández de Elche",Psicología
"Coral Alcaraz Fuente",50,"Universidad de La Coruña",Psicología
"Bernarda Pozo-Fuente",48,"Universidad del País Vasco",Información
"Felisa Moll-Roca",47,"Universidad de Cantabria",Información
