propuestas,organizador,facultad,nombre
"Denunciar a María Manuela Flores Capdevila","Bartolomé Carro Múgica","Ciencias Económicas","Universidad Rovira i Virgili"
"Hablar con Jose Guillen-Vaquero","Gustavo Reina-Badía","Ciencias de la Salud","Universidad de La Laguna"
"Quitar el busto de Telmo Cabello Mir","Celestino Samuel Esparza Robledo","Ciencias Físicas y Matemáticas","Universidad Internacional Isabel I de Castilla"
"Quitar el busto de Renata Juan Infante","Isidro del Mariño",Arquitectura,"Universidad IE"
"Quitar el busto de Vinicio Cornejo Carreras","Javiera Chus Fuente Oliva",Matemática,"Universidad Internacional de La Rioja"
"Denunciar a Visitación Bou-Barreda","Jose Ignacio Jaén Carrera",Derecho,"Universidad de Zaragoza"
"Echar a Elba Becerra-Naranjo","Luis Miguel Saez Benavent",Filosofía,"Universidad Pontificia Comillas"
"Quitar el busto de Nicodemo Canales","Ricarda Beatriz Giménez Galvez",Medicina,"Universidad Politécnica de Madrid"
"Quitar el busto de Adora de Arnaiz","Leoncio del Alemán",Química,"Universidad de Cantabria"
"Denunciar a Nazario Rosado Cervera","Manolo Cabrera Echeverría","Ciencias Exactas","Universidad Nacional de Educación a Distancia"
"Hablar con Mauricio Cabo Ávila","Charo Corona Moreno Ugarte","Ciencias Sociales","Universidad de Valladolid"
"Denunciar a Cruz Luisina Cabo Durán","Josefa Herrera","Ciencias Físicas y Matemáticas","Universidad Jaime I"
"Echar a Abel Fuster Abad","Agapito de Acosta",Filosofía,"Universidad de Sevilla"
"Denunciar a Martín Rojas","Ruperto Albero Caparrós",Matemática,"Universidad Rey Juan Carlos"
"Hablar con Celestina Daza Reig","Maxi Bartolomé Bermúdez",Veterinaria,"Universidad de Alicante"
"Quitar el busto de Nadia González Farré","Sandalio Aranda Paniagua",Derecho,"Universidad Politécnica de Valencia"
"Quitar el busto de Casemiro Menendez Borja","Cintia Ariño Arrieta",Medicina,"Universidad Católica San Antonio"
"Echar a Matías Lozano Valle","Emma de Quiroga","Ciencias de la Salud","Universidad Internacional de la Empresa"
"Quitar el busto de Marcia Vázquez","Pío Teófilo Pozuelo Esteve",Diseño,"Universidad Europea del Atlántico"
"Hablar con Úrsula Garmendia-Huertas","Marc Angulo Barberá",Odontología,"Universidad Católica San Antonio"
"Hablar con Duilio Royo Luque","Óscar Montaña Mascaró",Química,"Universidad de Gerona"
"Quitar el busto de Efraín Aliaga","Odalys Font Luque",Arquitectura,"Universidad Politécnica de Madrid"
"Quitar el busto de Cristina Garcia","Georgina Vallés Llorens",Comunicación,"Universidad Internacional Isabel I de Castilla"
"Quitar el busto de Nico León Álamo","Albino Fito Durán Conesa",Información,"Universidad de Oviedo"
"Hablar con Eusebia Salamanca Cabezas","Maxi Mínguez Bárcena","Educación Física","Universidad Antonio de Nebrija"
"Hablar con Antonia Salamanca Campo","Tristán Múñiz","Ciencias Sociales","Universidad Autónoma de Madrid"
"Quitar el busto de Jordán de Villena","Cecilio Verdejo Palma","Ciencias Sociales","Universidad CEU Cardenal Herrera"
"Hablar con Lorenza del Domínguez","Bibiana Paredes Salinas","Ciencias Sociales","Universidad Ramon Llull"
"Quitar el busto de Cirino Suárez Núñez","Jose Miguel Batlle Lozano",Filosofía,"Universidad de Vich"
"Denunciar a Rufino Morales Galán","Ruth Pineda Guerrero",Psicología,"Universidad de Las Palmas de Gran Canaria"
"Echar a Plinio Rebollo","Lucila del Andreu",Medicina,"Universidad Pompeu Fabra"
"Hablar con Isidro Galvez Castellanos","Aarón Cifuentes Carreras","Ciencias Exactas","Universidad de Gerona"
"Hablar con Ruth Chamorro Roman","José Company Bonet","Ciencias Físicas y Matemáticas","Universidad Francisco de Vitoria"
"Echar a Valentina Rius Muro","Águeda Campoy Escudero","Ciencias Exactas","Universidad Jaime I"
"Quitar el busto de Nidia Macarena Andrés Montaña","Roldán Borrego Sans","Ciencias de la Educación","Universidad Europea Miguel de Cervantes"
"Echar a Nazaret Solé-Cervantes","Germán de Salvà",Matemática,"Universidad de Jaén"
"Quitar el busto de Iris Cepeda Machado","Arsenio Navarro Oller",Agronomía,"Universidad de Castilla-La Mancha"
"Quitar el busto de Miguela Pujadas Sánchez","Fausto Llano",Odontología,"Universidad Internacional Menéndez Pelayo"
"Denunciar a Agustina Cobo","Hernando Murcia Millán",Derecho,"Universidad de las Islas Baleares"
"Quitar el busto de Maximiliano Berenguer Campillo","Rita Caparrós Torre",Filosofía,"Universidad de Málaga"
"Hablar con Pía Carmona Planas","Reyes Sobrino Quevedo","Ciencias de la Salud","Universidad de Sevilla"
"Hablar con Prudencia Llano Borrego","Jenaro Lumbreras Marí","Ciencias de la Salud","Universidad San Jorge"
"Echar a Josep Morán Vázquez","Máximo de Bayona",Odontología,"Universidad de Cantabria"
"Echar a Reyna Iglesias","Débora Reina Aliaga","Ciencias Sociales","Universidad Francisco de Vitoria"
"Quitar el busto de Sandalio Gargallo","Baltasar Zaragoza Dueñas","Ciencias Económicas","Universidad de Castilla-La Mancha"
"Hablar con Dafne Gámez Espinosa","Aroa Iriarte Benito","Educación Física","Universidad Internacional de La Rioja"
"Echar a Remigio Aragón Chacón","Leonor Rodrigo",Información,"Universidad Internacional de Cataluña"
"Denunciar a Adrián Higueras Sanjuan","Adelardo Artemio Sobrino Daza",Información,"Universidad a Distancia de Madrid"
"Denunciar a Reyes Tenorio","Anselma Carvajal Nicolás","Ciencias Económicas","Universidad Loyola Andalucía"
"Denunciar a Nacio Casado-Ferreras","Nayara del Quintero",Humanidades,"Universidad Politécnica de Madrid"
"Denunciar a Roxana del Domínguez","Socorro Boix Gelabert",Información,"Universidad de La Rioja"
"Echar a Amanda Tomé","Eustaquio Burgos",Matemática,"Universidad de Málaga"
"Denunciar a Valerio del Julián","Jesús Somoza Araujo",Psicología,"Universidad Católica San Antonio"
"Echar a Araceli Carlos Manso","Isa Sierra Díaz",Arquitectura,"Universidad Politécnica de Cataluña"
"Denunciar a Wálter Villanueva","Angelina Alcázar","Ciencias de la Salud","Universidad de La Coruña"
"Hablar con Javiera Román Pi","Alcides Arellano Verdugo","Ciencias de la Educación","Universidad de Diseño, Innovación y Tecnología"
"Hablar con Armida Jaume Iglesias","Encarnita Almeida Porcel",Derecho,"Universidad Europea del Atlántico"
"Denunciar a Estrella del Cañizares","Nacho Solano Nicolás",Química,"Universidad Internacional de La Rioja"
"Quitar el busto de Amor Roldán Chico","Anna Diez Gómez",Diseño,"Universidad a Distancia de Madrid"
"Quitar el busto de Esteban Salgado Sanchez","Almudena Luisa Manzanares Alba","Ciencias Exactas","Universidad Internacional de La Rioja"
"Hablar con Godofredo Royo Borrás","Catalina Calista Roldán Barriga",Humanidades,"Universidad Complutense de Madrid"
"Hablar con Lorena Ribes Madrid","Malena Aroca Crespi","Ciencias Exactas","Universidad de Castilla-La Mancha"
"Quitar el busto de José Luis Millán Agudo","Hector Carrera","Ciencias de la Educación","Universidad Europea de Madrid"
"Hablar con Jacinta Salas Blazquez","Paulino Perea Rebollo",Filosofía,"Universidad de Salamanca"
"Hablar con Julia Moll Tamayo","Arturo Sacristán Lledó","Ciencias de la Educación","Universidad Católica San Antonio"
"Echar a Mirta del Ledesma","Miguel Ángel Iriarte Bravo",Psicología,"Universidad Europea del Atlántico"
"Quitar el busto de Balduino Serna Martí","Jacinta Barral Barrena","Ciencias Económicas","Universidad Fernando Pessoa-Canarias"
"Quitar el busto de Pastor Pulido Aliaga","Zaida Franco-Ropero",Derecho,"Universidad de Oviedo"
"Echar a Maximiano Guerra Requena","Juan Antonio Ramírez Ugarte","Ciencias de la Educación","Universidad Jaime I"
"Quitar el busto de Fito de Escrivá","Jaime Heredia Fonseca",Medicina,"Universidad Católica de Valencia San Vicente Mártir"
"Hablar con Glauco de Pallarès","Nuria Carrillo Barberá",Matemática,"Universidad Pontificia Comillas"
"Echar a Piedad Busquets Galindo","Zaida Suárez",Información,"Universidad de La Laguna"
"Hablar con Jimena de Rico","Azahara Céspedes",Odontología,"Universidad CEU San Pablo"
"Denunciar a Genoveva Manrique Peralta","Clotilde Agudo",Comunicación,"Universidad Católica San Antonio"
"Quitar el busto de Delia Mulet Losa","Loreto Mendoza Catalán",Medicina,"Universidad Politécnica de Valencia"
"Denunciar a Natividad Guzmán Acero","Bartolomé Querol-Matas","Ciencias Exactas","Universidad Tecnológica Atlántico-Mediterráneo"
"Hablar con Lucio Bello Giner","Pánfilo Cal-Angulo","Ciencias Físicas y Matemáticas","Universidad Nacional de Educación a Distancia"
"Echar a Clotilde Guardia Caballero","Calisto Bernal","Ciencias Físicas y Matemáticas","Universidad Complutense de Madrid"
"Quitar el busto de Jessica Jordán Serrano","Modesta Galvez Armas",Química,"ESIC Universidad"
"Quitar el busto de Mercedes Abella Santamaría","Chus Expósito-Garrido",Diseño,"Universidad Internacional Villanueva"
"Quitar el busto de Malena Ferrándiz Pons","Juana Maldonado Rey",Derecho,"Universidad de Oviedo"
"Quitar el busto de Gloria Villaverde Luján","Isidoro Zamora",Información,"Universidad de Salamanca"
"Hablar con Febe Carlos Córdoba","Raúl Candelario Amores Taboada","Ciencias Económicas","CUNEF Universidad"
"Denunciar a Cirino Bastida Parejo","Melisa Casanovas Marti",Humanidades,"Universidad de La Rioja"
"Echar a Esperanza Castañeda Piñol","David del Valcárcel",Filosofía,"Universidad Politécnica de Cartagena"
