numPropuestas,nombre,edad,facultad
3,"Modesta Galvez Armas",35,Química
3,"Amancio Pascual Arcos",42,"Ciencias de la Educación"
3,"Leonardo Gras Villalobos",43,Humanidades
3,"Maximiano Moreno Serna",49,Matemática
3,"Eusebia Espada-Sanabria",36,Medicina
2,"Marina Fuertes Acosta",37,Diseño
2,"Bartolomé Carro Múgica",46,"Ciencias Económicas"
2,"Diana Barrios Marcos",38,Filosofía
2,"Clotilde Tur Juárez",46,"Ciencias Económicas"
2,"Lorena Giménez Manzano",28,"Ciencias Económicas"
2,"Albano Mayol Viñas",23,Información
2,"Sarita Vidal Blázquez",48,Agronomía
2,"Bruno Landa-Falcón",30,"Ciencias Económicas"
2,"Emigdio Camino Borja",27,Comunicación
2,"Emma de Quiroga",22,"Ciencias de la Salud"
2,"Josefina Bonet Palomino",50,Filosofía
2,"Sara Cabello Chaves",32,Humanidades
2,"Joaquina Canet Donoso",23,Psicología
2,"Josefina Padilla-Saura",22,Odontología
2,"Serafina Ortuño Estevez",42,Matemática
2,"Esteban Luis Ángel Armengol Bas",37,Ingeniería
2,"Bartolomé Querol-Matas",40,"Ciencias Exactas"
2,"Yésica Cabañas Verdugo",40,"Ciencias Sociales"
2,"Reyes de Caparrós",49,"Ciencias Exactas"
2,"Gilberto Lopez Cantón",37,Comunicación
2,"Lorena Sarmiento Villalba",21,Química
2,"Severino del Rozas",30,"Ciencias Exactas"
2,"Graciela Fidela Bilbao Terrón",29,Veterinaria
2,"Dolores Olmedo-Carbó",17,"Ciencias Físicas y Matemáticas"
2,"José María Barreda Rivero",31,Veterinaria
2,"Adelaida Pera Julián",34,Matemática
2,"Almudena Luisa Manzanares Alba",49,"Ciencias Exactas"
2,"Vicenta Robles Suárez",33,"Ciencias de la Salud"
2,"Arturo Sacristán Lledó",38,"Ciencias de la Educación"
2,"Celestino Samuel Esparza Robledo",40,"Ciencias Físicas y Matemáticas"
2,"Gilberto Abascal Macias",24,"Ciencias Exactas"
2,"Socorro Boix Gelabert",35,Información
2,"Valeria Enríquez",27,Filosofía
2,"Marcelo Juliá Carreño",44,Humanidades
2,"Alcides Arellano Verdugo",31,"Ciencias de la Educación"
2,"Onofre Castro Bermudez",19,Matemática
2,"Juana Salinas Silva",36,"Ciencias Económicas"
2,"Josefa Benitez Muro",28,Veterinaria
2,"Begoña Escamilla Tomé",30,Odontología
2,"Loreto Mendoza Catalán",41,Medicina
2,"René Torrijos",45,"Ciencias Sociales"
2,"Julie Lloret",24,"Ciencias de la Educación"
2,"Natalia Fajardo Salgado",26,"Ciencias Sociales"
2,"Leopoldo Alemany Pla",24,Matemática
2,"Arturo Águila-Riquelme",26,Filosofía
2,"Salvador Lastra Nuñez",16,Medicina
2,"Eloísa del Gallardo",48,Odontología
