idEvento,nombre,descripcion,fechaEvento,fechaCreacion,idCreador
0,Fiesta sorpresa de María Cristina Perera Zurita,,2022-12-10,,1960
1,Jubilación de Ramiro Paz Viana,,2023-02-10,,8362
2,Fiesta sorpresa de Dorita Rocha Pareja,,2022-06-18,,3343
3,Poniencia de Loreto Bernardino Aliaga Llobet,,2023-06-13,,4589
4,Cumpleaños de Estefanía Gutierrez Delgado,,2022-02-18,,7118
5,Despedida de Severo Guillen Tejera,,2022-11-23,,5077
6,Cumpleaños de Teresita Tudela Villalonga,,2022-03-26,,239
7,Fiesta en casa de Teodora Juliá Nevado,,2022-11-25,,2432
8,Poniencia de Jessica Griselda Huguet Rubio,,2022-02-19,,3675
9,Despedida de Fortunato Checa Bru,,2022-08-26,,3162
10,Poniencia de Armida de Espejo,,2022-03-09,,890
11,Poniencia de Nicanor Figuerola Rosa,,2023-06-03,,9280
12,Cumpleaños de Clímaco Acosta Leon,,2022-02-02,,4589
13,Cumpleaños de Eutimio Rozas Bilbao,,2022-07-21,,599
14,Fiesta sorpresa de Guadalupe Fabra,,2022-07-30,,9426
15,Jubilación de Yésica Gibert Saldaña,,2022-04-05,,7801
16,Fiesta sorpresa de América Marcos Alemán,,2021-12-29,,7161
17,Cumpleaños de Felix Barranco Roselló,,2023-06-29,,6359
18,Jubilación de Jordi Rosselló Pinilla,,2021-09-06,,8896
19,Despedida de Óscar Bayo Salazar,,2023-02-14,,4313
20,Jubilación de Magdalena del Piquer,,2022-05-22,,3114
21,Jubilación de Anselma Céspedes Lasa,,2022-12-30,,850
22,Fiesta sorpresa de Toribio Fajardo Merino,,2023-03-12,,10625
23,Jubilación de Blas Bauzà Hoz,,2022-07-23,,3065
24,Fiesta sorpresa de Eliseo Vila Miró,,2021-11-15,,7795
25,Fiesta en casa de Rufina Boada,,2022-07-04,,2135
26,Poniencia de Ricardo Bayón Escribano,,2021-08-11,,4244
27,Fiesta sorpresa de Ruth Andreu Ángel,,2022-01-14,,8232
28,Jubilación de Adán de Morera,,2022-12-26,,11370
29,Cumpleaños de Lalo Ruano-Flores,,2023-05-13,,8350
30,Despedida de Evangelina Silva Garcés,,2023-07-08,,5879
31,Poniencia de Isidoro Matas Julián,,2023-07-13,,1517
32,Cumpleaños de Bartolomé Rodríguez Porras,,2022-02-12,,7675
33,Jubilación de Alexandra Miguel,,2023-01-02,,10906
34,Fiesta sorpresa de Martina Salvador,,2022-04-13,,1402
35,Fiesta en casa de Sofía Zurita Benavent,,2021-09-16,,6065
36,Cumpleaños de Marc Roma Díaz,,2021-11-09,,1186
37,Jubilación de Concha Galván Rubio,,2023-06-26,,8583
38,Poniencia de Edu del Gonzalo,,2022-07-13,,9153
39,Cumpleaños de Antonio Luque Montes,,2021-09-26,,2222
40,Fiesta en casa de Candelaria María Manuela Iglesia Quiroga,,2021-12-04,,4745
41,Poniencia de Desiderio Tello Ángel,,2022-01-06,,1300
