idUsuario,nombre,username,idUniversidad,facultad,curso,clase,edad
0,Bernarda Jimenez-Manjón,['mereLemur3'],83,Arquitectura,5,D,24
1,Pilar Gallardo Flores,['pitifulAntelope2'],79,Comunicación,3,C,38
2,Cesar Salmerón Goñi,['cautiousGelding9'],6,Educación Física,2,D,34
3,Rosalina Nogueira-Corral,['culturedQuiche3'],51,Medicina,3,D,40
4,Pilar Mayol Artigas,['alertSeagull3'],76,Ciencias de la Salud,6,A,29
5,Danilo Cuenca,['cruelBuzzard8'],54,Información,2,D,50
6,Demetrio Cordero Águila,['crummySalami9'],10,Medicina,3,A,38
7,Silvestre Arnal,['mildMackerel8'],42,Ciencias de la Educación,2,D,25
8,Octavia Jurado Ariza,['brainyLion8'],79,Ciencias Físicas y Matemáticas,4,A,28
9,Remigio Montalbán Bravo,['chicHeron8'],32,Ciencias Económicas,2,B,50
10,Gabriela Fuentes Gimenez,['excitedRelish8'],1,Medicina,1,D,33
11,Beatriz Guzmán Abella,['humorousSardines1'],36,Ciencias de la Salud,1,D,20
12,Marco del Chamorro,['pacifiedOcelot6'],83,Arquitectura,5,D,18
13,Pancho Bautista Falcó,['mellowPepper6'],75,Comunicación,4,D,37
14,Nacho Ayllón,['ecstaticTruffle6'],24,Ciencias Exactas,2,D,17
15,Rómulo Menendez,['excludedCoconut7'],16,Ciencias Sociales,3,C,36
16,Cesar Nadal Busquets,['sugaryBittern5'],42,Humanidades,6,A,34
17,Nadia de Manjón,['lazySmelt3'],10,Ingeniería,1,D,25
18,Bernardino del Plana,['anxiousMare4'],36,Ciencias de la Educación,3,C,38
19,Adoración Machado Mariscal,['brainyTomatoe8'],74,Odontología,1,D,17
20,Odalis Marin Palomino,['crummyDunbird8'],35,Ingeniería,4,D,23
21,Ignacia Aguilar Gargallo,['wearyThrush9'],21,Ingeniería,6,C,20
22,Heraclio Orozco,['cautiousGatorade5'],9,Ciencias Físicas y Matemáticas,5,A,26
23,Federico Higueras-Casanovas,['peacefulBoars0'],87,Ingeniería,1,A,19
24,Judith Melero Hoyos,['betrayedLapwing3'],83,Medicina,1,B,23
25,Joaquín Manolo Tena Pellicer,['grumpyApples3'],67,Veterinaria,3,B,24
26,Emilia Hoyos Cortes,['dearMare0'],23,Matemática,3,D,16
27,Clara Figueras Correa,['outlyingDingo4'],36,Derecho,1,B,20
28,María Manuela Pinilla-Ballesteros,['obsessedFerret9'],75,Ciencias Económicas,6,B,21
29,Timoteo Hernandez-Duque,['zestyBustard4'],30,Derecho,4,B,17
30,Moisés Roda Carranza,['enragedOil9'],64,Arquitectura,6,B,18
31,Carmelo Carreño Sanz,['blissfulWidgeon9'],52,Ciencias Físicas y Matemáticas,6,D,46
32,Elpidio Garcés Sáez,['fondDoughnut5'],78,Derecho,4,D,42
33,Ignacia Olmo-Amigó,['dejectedOrange3'],81,Información,2,A,26
34,Elisabet de Fajardo,['affectedCaviar2'],1,Medicina,4,C,31
35,Benigna Ibáñez Campo,['grizzledRice2'],78,Matemática,2,A,50
36,Encarnita Arranz Sainz,['pleasedBuzzard5'],49,Educación Física,4,A,32
37,Candelas del Requena,['madPoultry4'],29,Matemática,6,D,16
38,Macaria Ariel Terrón Cantón,['sincereRaisins6'],81,Psicología,4,B,34
39,Elvira Codina Ballester,['scornfulHyena9'],69,Psicología,6,C,24
40,Dolores Gonzalez Solís,['excludedRaisins5'],11,Diseño,4,C,23
41,Nilda Belmonte Seguí,['mercifulKitten0'],58,Ciencias de la Salud,2,A,16
42,Leandra Vergara Medina,['crushedTortoise8'],67,Humanidades,5,A,25
43,Gervasio Carpio Arregui,['giddyCow8'],77,Derecho,6,D,21
44,Anunciación del Nicolás,['needfulIguana5'],27,Psicología,4,B,28
45,Magdalena Tomas,['amazedHawk7'],22,Humanidades,5,B,42
46,Isidora de Bautista,['cautiousBass8'],40,Filosofía,1,D,20
47,Georgina Tapia-Juan,['mellowPudding6'],0,Química,6,D,33
48,Tecla Santiago Nogueira,['blissfulBasmati6'],38,Ciencias Sociales,1,A,48
49,Vasco Bermúdez,['wearyThrush3'],3,Matemática,6,A,49
50,Brunilda Solsona Tenorio,['ardentOrange1'],80,Ciencias Económicas,6,B,30
51,Ildefonso Pino Pelayo,['awedJerky5'],37,Ciencias Físicas y Matemáticas,3,B,35
52,Anselma Navas Macias,['sugaryPepper3'],77,Filosofía,3,C,34
53,Duilio Corbacho Company,['annoyedQuiche3'],33,Derecho,1,B,49
54,Brígida Manuel Santiago,['eagerOtter6'],55,Ciencias Económicas,3,D,22
55,Dalila Ramos Reguera,['excitedJaguar1'],62,Diseño,4,D,40
56,Manuelita Aguiló Cánovas,['excludedHyena4'],44,Ciencias de la Salud,5,D,36
57,María Ángeles del Recio,['dearCrackers6'],71,Ingeniería,4,B,38
58,Osvaldo Maestre Pazos,['mereAbalone7'],27,Ciencias Exactas,3,A,18
59,Elena Pera Beltrán,['excitedCod7'],89,Ciencias Físicas y Matemáticas,4,A,29
60,Sancho Torrecilla Novoa,['sugaryFish1'],34,Ciencias Económicas,6,C,23
61,Reyna Pedro Villalba,['innocentMoth2'],55,Odontología,2,D,22
62,Luciano Álamo,['solemnAbalone2'],53,Veterinaria,4,B,35
63,Arturo Oller Sacristán,['worriedBaboon8'],33,Matemática,2,A,25
64,Manu Paniagua Robledo,['mercifulTruffle6'],7,Ciencias de la Educación,2,C,24
65,Graciano Vinicio Cervera Pacheco,['amusedLeopard5'],55,Matemática,1,B,40
66,Isabel Espinosa Garmendia,['giddyCardinal3'],54,Ciencias Sociales,3,A,28
67,José Luis Mosquera Montoya,['pridefulFlamingo9'],91,Ciencias Físicas y Matemáticas,6,A,37
68,Mohamed Mariño-Giménez,['yearningWigeon6'],90,Ingeniería,3,C,48
